group_name,group_slug,n_user_recommend,last_recommended
Dallas Democratic Clubs Council,clubcouncil,1,2021-05-06
Cook County Young Democrats,cookcountyyd,1,2021-04-07
California Republican Nation,californiarepublicannation,1,2021-04-06
Christian Democrats of Iowa,ChristianDemocratsofIowa,1,2021-04-21
High School Democrats of America Members,hsdamembers,1,2021-04-21
Republicans of NJ 9th US Congressional District Group,gopnjdistrict9,1,2021-03-23
Republicans & Libertarians Unite,BootObama2012,1,2021-05-13
Boycott/Buycott - Republicans ONLY,boycottbuycott,1,2021-03-29
Asian Republicans,asianrepublican,1,2021-03-26
#DemEnter:  Berniecrats Taking On the Democratic Establishment,berniecratsvstheestablishment,1,2021-03-22
Iowa Democratic Party - Stonewall Caucus,idpstonewallcaucus,1,2021-04-29
DEMOCRATIC ALLIANCE 2019 FOR GOVERMENT,impisemnyama,1,2021-03-26
Young Democrats of America Minority Caucus,ydamc,1,2021-05-08
Minnesota Tea Party and Republicans!,ROMNEYRYANMN2012,1,2021-03-23
Sandwich Democrats,sandwichdtcma,1,2021-03-22
Dallas County Republican Party Precinct 2708,Precinct2708,1,2021-05-02
President Biden and a Democratic Congress,ElectDems,1,2021-03-22
CTA Republican Caucus,CTARepublicans,1,2021-05-11
Texas Coalition of Black Democrats - Dallas County Chapter,Dallas.TCBD,1,2021-03-26
Democratic Club of Orange,DemClubOrange,1,2021-04-30
Democrats Abroad Vorarlberg,democratsabroadvorarlberg,1,2021-05-18
Democrats Abroad Japan Community,demsabroadjapan,1,2021-02-12
Fort Bend County Democratic Party Precinct 4,fortbenddems4,1,2021-05-02
Franklin County Democratic Lawyers Club,franklindemlawyers,1,2021-04-07
"Fayette County, GA - Young Democrats",fayettecountyyoungdemocrats,1,2021-05-02
Hillsborough County LGBTA Democratic Caucus,16796581625,1,2021-02-26
Chicago Latino Republicans,168107873269582,1,2021-04-12
Centre County Democrats 2016,1696336360688934,1,2021-03-24
Dump On Trump and Republicans,164738113600534,1,2021-03-22
District 47 Utah Democrats,1623255854589241,1,2021-03-25
Progressive Michigan Democrats,1625136604438083,1,2021-03-22
The Labor Caucus of the Iowa Democratic Party,1638170433165084,1,2021-05-09
WSU College Republicans,1593223404309510,1,2021-04-28
Pennsylvania Federation of Democratic Women,1593563217581172,1,2021-03-23
Westminster Maryland Democrats,1608694555952377,1,2021-03-22
Southwestern Illinois Democratic Socialists of America,1608870385954346,1,2021-05-11
Labour for Democratic Socialism,labourfordemocraticsocialism,1,2021-02-23
Southwest Las Vegas Democratic Club,swlvdems,1,2021-03-20
College Democrats at Sac State,csusdems,1,2021-02-21
HENDERSON DEMOCRATIC CLUB of NEVADA,HenDems,1,2021-03-21
Plainwell/Otsego Democrats,PlainwellOtsegoDems,1,2021-05-05
Plymouth Liberal Democrat Members,plymouthlibdems,1,2021-05-08
Democratic Victory,PoliticsDoesNotEnd,1,2021-03-03
Nye County Democratic Women's Alliance,NyeCountyDemocraticWomensAlliance,1,2021-03-23
PA Liberal Democrats,PALibs,1,2021-04-02
Passaic County Young Republicans,PassaicCountyYoungRepublicans,1,2021-03-18
Democrats Living Abroad In Ecuador,1429222360706055,1,2021-05-20
Iowa 2nd District Democrats,18189991620,1,2021-04-29
Latino Republican National Federation,365831227113188,1,2021-05-04
St. Louis Young Republicans,10604430819,1,2021-02-25
Democrats Onward,1027196624105239,1,2021-05-02
Wellesley College Democrats General Members 2019-2020,WellesleyDems1920,1,2021-03-22
Tennessee Sixth Congressional District Democrats,TN6DEMS,1,2021-05-09
TRUE BRONX DEMOCRATS 2021,truebronxdemocrats2018,1,2021-03-24
Texas Democratic County Chairs,TXDemCountyChairs,1,2021-03-13
Senate District 7 Republicans,TXSD7Republicans,1,2021-03-23
Text Democrats,TXTextDems,1,2021-03-13
Tech Student Democrats Forum,techdems,1,2021-05-19
Texas Democrats Community,texasdemocrats,1,2021-02-27
Texas Republican Nation,texasrepublicannation,1,2021-04-04
Central Wisconsin Warren Democrats,2824844414407999,1,2021-03-23
Democrats For President (2020),283921255652991,1,2021-05-09
A Democrat Point,284728158261322,1,2021-04-21
The Democratic Alliance (UK),276161727014855,1,2021-03-17
American Republicans  Mad as Hell and We are Not Going To Take it  ANYMORE,2762900970638002,1,2021-05-04
Democrats of Queens NY,278145059826903,1,2021-04-03
Greater Long Beach Republicans,2796780927027552,1,2021-04-07
Oregon Republicans,2804732326432080,1,2021-03-22
Progressives and Democrats Unite,2808855599216696,1,2021-04-01
Friends Who Like Democratic Zero Tolerance Party.,281125322239693,1,2021-03-22
Fayette County Young Democrats,2232344430,1,2021-03-22
Mid Missouri Young Republicans,224069735097513,1,2021-03-23
ALDC - Liberal Democrat Campaigners and Councillors,226150890771913,1,2021-05-31
Morgantown Young Republicans,MotownYrs,1,2021-05-05
The Colony & Hebron Democrats,295665854208054,1,2021-05-15
Republican Atheists in Texas,297478067613781,1,2021-05-07
Denison Democrats,300592466678387,1,2021-03-28
Republican Coalition Members,302655397491805,1,2021-03-27
Trump Republicans,375879907184593,1,2021-05-29
2020 Texas Democratic Party National Convention Delegates,360509818260430,1,2021-03-22
"Democratic Friends in Delaware, Buchanan, and Fayette Counties",366424104361074,1,2021-05-11
"Crawford County, Iowa Republicans",69590951893,1,2021-04-12
"Young Democrats of Adams County, IL",679303162924204,1,2021-03-23
New Hampshire Pro-Israel Democrats,2392952934163731,1,2021-03-22
Young Democrats Of County Will,2343576799059334,1,2021-03-25
Iowa County Republican Party (Wisconsin),235210552603,1,2021-05-06
We The Women: Republican Women’s Group,2631740070483542,1,2021-04-27
Friends & Family Democrats,2533230460329567,1,2021-03-25
not democrat not republican just Americans,256370269170291,1,2021-03-24
College Democrats of New York-Lower NYC Region,248127052059360,1,2021-03-22
United Democratic Party,2517670791682152,1,2021-03-20
Archuleta County Republican Women,251978889187734,1,2021-03-22
Alexandria Young Republicans,2433655134,1,2021-03-05
Progressive Democrats of America (PDA),2444606018890069,1,2021-03-22
Nevada County Democrats Team I,245423873338207,1,2021-05-02
Democrats Retaking US House Of Representatives And Senate,416471828538950,1,2021-03-16
Republican Club of York County,40027285873,1,2021-03-28
Young Democrats of Mecklenburg County,4046528955,1,2021-03-22
Progressive Democrats of Western New York,405370620561,1,2021-04-26
Chicago 49th Ward Democratic Committeeman 2016 Race,409189329258392,1,2021-03-23
Graham County Democratic Party,438862882924401,1,2021-03-22
43rd Democrats Environmental Caucus,43rdEnvironmentalCaucus,1,2021-03-06
The Republicans-America's Best,427174098302427,1,2021-04-09
Darien Democrats,429766924478334,1,2021-03-23
Irish Republican Education Forum,391979460930832,1,2021-03-30
York County Democratic Society,393491084667142,1,2021-05-30
Eastside Democrats Chapel Hill,394448551404457,1,2021-03-23
Young Democrats of Georgia Southern,395386218116871,1,2021-03-22
Republicans and Democrats United (Be RAD!),381519046428272,1,2021-03-25
Tennessee Democratic Party LGBTQ+ Caucus,3826440834084536,1,2021-05-23
Occupy Democrats vs Trump Supporters,386107821782385,1,2021-04-11
Constitutional Republicans of America II,269564914350452,1,2021-03-21
United Black Democratic Caucus of Southern Nevada,2745332188851339,1,2021-04-02
Amador Republican Party for the Recall of Gavin Newsome Group,2751701554848284,1,2021-03-22
Democrats Must Go 2020!,2653725631543917,1,2021-04-15
Democrats With a Backbone,358461821256633,1,2021-03-24
EDCO - Elected Democrats of Central Ohio,347184296400408,1,2021-03-22
Idaho Region 3 Democratic County & Legislative Chairs,5253224998053471,1,2021-05-20
Rice County Republicans,507634275965238,1,2021-04-14
Taylor County Democrats,508717046153809,1,2021-05-01
AK District 11 Democrats,1736521243039104,1,2021-03-23
Republicans versus Democrats,174996717123993,1,2021-03-18
Young Democrats of America Women's Caucus,170513746345917,1,2021-03-19
Tennessee Republican Liberty Caucus,171779869594514,1,2021-04-19
CTA Democratic Caucus,171895542977421,1,2021-03-22
The Asian/Pacific Islander Caucus of the Iowa Democratic Party,655321641298544,1,2021-05-06
Idaho Young Democrats,664862993847527,1,2021-04-08
Plymouth County Democrats,64175527416,1,2021-03-23
Town of Champlain Democrats,873683239373975,1,2021-02-03
People against Republicans,895650890603807,1,2021-03-23
Harris County PCT 0724 Republicans,608831293128492,1,2021-04-26
Armed Democrats - LGBT & Allies for Equality,LGBTandalliesforequality,1,2021-03-31
Maine Democrats,mainedems,1,2021-05-20
9th Legislative District Democrats,ld09wadems,1,2021-05-11
MARCH ON THE DEMOCRATIC NATIONAL CONVENTION 2016!,MarchOnTheDNC,1,2021-03-19
Marlborough Democrats,marlboroughdems,1,2021-03-22
Massachusetts High School Democrats,masshsdems.org,1,2021-05-09
DEFEAT ALL PIERRE DELECTO REPUBLICANS,777423616452040,1,2021-03-12
Armed Democrats - Union Strong,788785571234009,1,2021-03-23
Wake Up America! Stop Democratic Socialism  NOW!,756171181636441,1,2021-03-23
New York City Young Republicans,491884184315532,1,2021-03-23
Democrats for Ted Cruz 46,534459550019545,1,2021-03-23
Republicans vs Democrats,546706408865407,1,2021-03-22
Minnesota Republicans for Truth and Justice,730527601149700,1,2021-04-28
Republicans United,731362484120774,1,2021-05-13
Surrey Police Service - Citizens & Supporters(Democratic),713738179574689,1,2021-04-18
SOCIETY FOR DEMOCRATIC SOCIALISM,738629876963264,1,2021-05-03
Democrat friends,743392443122612,1,2021-04-01
Republicans of Northern Colorado,593739554068210,1,2021-03-22
Georgetown Law Republicans,598245240188116,1,2021-05-08
Capital Area Democratic Women,56765478027,1,2021-03-25
Gaston County Teen Democrats,572031336496753,1,2021-05-08
We hate DEMOCRATS,575757842560980,1,2021-03-23
Allamakee County Iowa Republicans,577340875957567,1,2021-04-08
My Favorite Democrats,467186600517932,1,2021-03-25
AD 56 Democrats,468772080770444,1,2021-04-14
The United New Mexico Republicans Group,472294370047060,1,2021-03-22
South Lake County Democrat Party,454738515027981,1,2021-04-04
District 20 Democratic Breakfast Club,831437250251215,1,2021-04-03
Young Democrats of America Lawyers and Law Student Facebook Group,83619121831,1,2021-05-08
Silicon Valley Young Democrats (SVYD),8405967991,1,2021-05-16
MN 8th Congressional District Republicans,79825419116,1,2021-03-22
LGBT+ Democrats of Gaston County,938571289941420,1,2021-03-25
Michigan Republicans,940362436010824,1,2021-03-22
Iowa City Westside Democrats,907170626367540,1,2021-03-22
DFW Area Young Democrats,923072714397491,1,2021-03-21
Democrats and Republicans vs the people,932579900586635,1,2021-04-05
Democratic Friends,1221703514513607,1,2021-03-07
Southeast Aurora Republicans,123123874392949,1,2021-03-20
Republicans in Massachusetts,124143947993113,1,2021-04-24
Oktibbeha County Democrats,116665628369401,1,2021-02-01
Republican Leaders in Washington's 45th District,118182621575642,1,2021-05-16
HD 26 Democrats,1184742334887173,1,2021-03-25
New Queens Democrats Forum - All things Progressive Queens,1454581974845113,1,2021-05-07
Yamhill County Republican Party,145538855510815,1,2021-03-22
Republicans,1456553454389069,1,2021-05-26
The Democratic Kitchen Table,1457189034371562,1,2021-04-08
Hamilton County Democratic Women,146750585682883,1,2021-05-02
Local Elected Officials Council of the Kansas Democratic Party,1424635707555908,1,2021-04-23
Clayton County Democratic Party: Latino Caucus,143118855752607,1,2021-04-21
Americans Against Republican Ideologies,1437220656337772,1,2021-03-22
Yamhill County Republican PCP's,1443234812612371,1,2021-03-22
Liberals against Republican misinformation and lies,1393254280973135,1,2021-03-22
Republicans of Arizona,139456115357,1,2021-03-22
Hudson NH Democrats Group,140453389981772,1,2021-03-23
Democratic Socialists of America for Peace,136344686697643,1,2021-05-31
2014 & Beyond for Progressive Democrats,137188389807420,1,2021-04-15
Iowa Republicans,138403486216923,1,2021-05-06
Progressive Democrats of Nevada,1385443564849442,1,2021-03-19
democratic socialist memes for rosa-killing teens,1503082539776770,1,2021-03-22
"Constitutional Republicans , Conservatives And Libertarians United",1503517833191178,1,2021-05-13
South Plains Coalition of Black Democrats ·,1517065158513389,1,2021-05-19
"Emerson, NJ Democratic Club",1482277848472956,1,2021-04-14
Democrats of Hamilton County's 8th District,149684115603063,1,2021-05-08
Democrats for Garrett County,149872915072271,1,2021-05-09
West Virginia Wesleyan College Young Democrats,1501433493500588,1,2021-03-21
Porter Area Democrats,3143096382384673,1,2021-03-23
Republican Liberty Caucus of Miami,314606045240956,1,2021-05-08
Republican Friends of  the Georgia 4th Congressional District,317115572681,1,2021-03-22
Chicago Black Republicans,31942683014,1,2021-03-30
WMR Western Mass Republicans,321841358743,1,2021-04-19
Latino Democrats of Texas,305695349552679,1,2021-04-04
PROGRESSIVE LIBERAL DEMOCRATS,305988413727706,1,2021-03-23
3rd Cong. District Democrats,306891939373944,1,2021-03-23
Lander County Democrats,307330436802506,1,2021-03-22
Republican Liberty Caucus of Missouri,308808785821412,1,2021-03-21
The United States of Democrats,308955549358,1,2021-03-23
Parents against Democratic Socialist Teachers,311968979888059,1,2021-03-17
Fayette County Republicans,113076225381070,1,2021-03-22
Proud Democrats,1159730354145147,1,2021-03-23
Unbiased America (Union of Moderate Democrats and Republicans),1096567980678845,1,2021-04-24
Democratic Professionals Of Tennessee,1104641126560892,1,2021-05-31
Progressives for Democratic Reform GA Forum,1111144899003937,1,2021-03-28
Democrats free to be Democrats,206206332803810,1,2021-04-28
Democratic Marxist Global Forum,2045711862207056,1,2021-03-24
Democratic Reform solutions,2048992302043038,1,2021-04-01
Oklahoma County Young Democrats,212407502571766,1,2021-03-22
Riverside Republican Assembly,1798448083719638,1,2021-03-18
Eastern NE LGBTQIA Democrats,1780678388927841,1,2021-03-26
Onondaga County West End Republican Club,1840494959533515,1,2021-04-27
South Tulsa Metro Democrats,180809955713648,1,2021-03-30
Stronger Together - Barron County Democrats,1817474055138905,1,2021-05-08
Mohave Republican Forum,1825768160989036,1,2021-05-08
Community Action Democrats,182605739052209,1,2021-05-25
"Jackson County, Illinois Democratic Central Committee Private Group",1831009446936419,1,2021-05-09
M.O.T. Republicans,1554227331452227,1,2021-03-23
Indiana Stonewall Democrats,155992007275,1,2021-03-03
AK District 10 Democrats,1582508292063359,1,2021-03-23
Proud Republican,1563094017326185,1,2021-05-25
Young Democrats of Washtenaw County,156498024418715,1,2021-05-08
Republicans for Rational Reform 2019,157309397644665,1,2021-03-23
Southington Democrats,1297777126978480,1,2021-05-22
DEMOCRATIC ALLIANCE 2021 Municipal Elections VICTORY,1300332153328951,1,2021-05-05
The Democratic Candidates for the Presidency of the United States,1307119602759363,1,2021-03-23
Dallas Democrats 114,131186817497557,1,2021-04-27
Obama and the Democrat Party,1320254051467969,1,2021-03-22
Democratic County Committee Chairs,1331862603672309,1,2021-04-06
Southwest Brooklyn Democrats,133410770710835,1,2021-03-23
South Georgia Young Republicans,133906779955301,1,2021-03-22
Progressive Democrats of South Placer,1262132883826281,1,2021-03-22
Pro-Choice Democrats Against Trump,339755586160515,1,2021-05-02
raging republicans,3269477446484930,1,2021-03-28
Young Democrats of Seminole County Group,3278850915459656,1,2021-03-23
32nd Ward Chicago Democrats,32ndwarddems,1,2021-05-07
Proud Pensacola Democrats,330394984647656,1,2021-03-23
Democrats of Comanche County TX Group,2145592635537825,1,2021-04-25
Arizona Republicans,216760246137486,1,2021-03-22
Alabama Democrats With Disabilities (and allies) Pre-Caucus,2144316299204620,1,2021-02-18
Democrats on the Offence Group,219818445746424,1,2021-03-22
Southern Democrat Caucus,2204698692,1,2021-04-15
"Democratic Party of Barrow County, GA",213205108713501,1,2021-03-18
Young Democrats of Kentucky - Unofficial Forum,2211061614,1,2021-02-27
JSU College Democrats,21281146610,1,2021-05-09
"Black History, The Democrats, and a Conversation",215536215157779,1,2021-04-07
Democrats of Missouri,189905434462959,1,2021-03-23
Democrat friends,1913419135593323,1,2021-03-23
Arab American Democratic Club Of Montgomery County,1927596224167074,1,2021-04-15
Custer County Oklahoma Democrats,1865016587085256,1,2021-03-23
Millennial Democrats- California!,1887233444871039,1,2021-04-30
"""The Mighty"" Precinct 54 Durham County Democratic Party",1937396206492356,1,2021-05-05
Sudhir's Democratic Friends,193820980649377,1,2021-03-28
College and Young Democrats of Iowa Discussion Group,1944202952575406,1,2021-03-31
Tarrant County Tejano Democrats Community Forum,195480850791632,1,2021-03-23
Texas Democrats,1962118957333809,1,2021-03-22
