group_name,group_slug,n_user_recommend,last_recommended
Leftist Memes for New Democrat Teens,760274310790997,15,2021-05-24
Social Democrats,256991532139994,10,2021-05-05
Anti - Monarchy (Republican) Group,2260431745,8,2021-05-17
DEMOCRATS ARE SOCIALIST,2475554116044285,6,2021-03-23
Democratic Socialists For Bernie Sanders 2020,2157208681258707,5,2021-05-30
The Democratic Underground,1191858484228320,5,2021-04-08
Louisiana’s Republican Party,136480978324283,4,2021-03-17
Democrats Against Voter Suppression,RealDemocratsAgainstVoterSuppression,4,2021-03-23
Federal Democratic Socialist Republic,irishfederalrepublic,4,2021-05-31
Defund the Democratic Party,defundthedemocrats,4,2021-03-23
"The People's voice, Democrats United",199403981377330,3,2021-04-15
White Pine County Democrats,592933610794259,3,2021-03-23
New Democrats for BDS,947267491999526,3,2021-05-20
Defund The Democrats,551065625571822,3,2021-03-19
"Joe Biden 2020, A Group For Democrats",biden2020democrats,3,2021-05-01
Democrats in Action,us4democracy,3,2021-04-10
American Democrats,387486401729406,3,2021-03-23
Republican headquarters,2264850490483019,3,2021-03-25
New Progressive Democrats,NPDHistoryIsWatching,3,2021-03-30
"Real Democratic Socialists, Progressives, and Independents",DSAandFriends,3,2021-04-08
Eastern Georgia Democrats,eastgeorgiadems,3,2021-03-22
Democratic Socialists Discussion Group,democraticsocialistsqld,2,2021-04-12
Texas Democratic Party: Training,TDPTraining,2,2021-05-20
standing with Democrats,479284562748106,2,2021-03-23
A Democrat for President,484228242274528,2,2021-03-23
INDEPENDENTS VOTING DEMOCRATIC FOR BERNIE SANDERS,833722803372071,2,2021-03-23
DEMOCRATIC NATIONALISTS.,834515056679792,2,2021-05-02
St Ives Liberal Democrat Members,837940653209373,2,2021-05-14
North Carolina against republican media bias,755159797891932,2,2021-04-04
Liberal Progressive Democrats,liberalprogressivedemocrats,2,2021-03-02
Republicans for Trump 2020 !!!,207498343014939,2,2021-04-14
ADP EIC Election Integrity Committee of the Arizona Democratic Party,219661938084103,2,2021-03-29
Democratic Socialists against Neoliberalism,336123523577730,2,2021-05-28
The Democratic Resistance and American values,140167706682206,2,2021-04-07
LGBT Caucus of the PA Democratic Party,132128376822205,2,2021-05-02
Secular Democrats of Florida,626715357941294,2,2021-05-03
Republicans of Elk Grove Township,86067191410,2,2021-03-25
Republicans for a New President,588580855029375,2,2021-03-25
Illinois 4th District Democrats,578288516450785,2,2021-04-25
Suburban Democrats,569881746369744,2,2021-05-01
Democrats United,1747360038737070,2,2021-04-15
The Indian Democrats,728054927401267,2,2021-03-22
Democratic Supporting people,509645945860714,2,2021-04-07
Secular Democrats of Georgia,gaseculardems,2,2021-03-22
The Democratic Party Is Self Destructing,holddemsaccountable,2,2021-03-22
Latino Democrats & Progressives in Iowa,1005576886527584,2,2021-05-04
The New Democrats,165485660173947,2,2021-03-23
Texas SD2 Democrats,SD2democrats,2,2021-03-28
Democrats Rising,2589030587841473,2,2021-03-23
Denton County Young Republicans Members,262710591162419,2,2021-03-23
Democrats for the Working People,2630600970289908,2,2021-03-17
Middle Georgia Young Democrats,3963003986,2,2021-03-22
Progressive Democrats of the triangle NC.,366032040510701,2,2021-03-23
Michigan Democrats United,441706319364515,2,2021-03-23
Georgia Senate District 29 Democrats,2297280033831637,2,2021-03-22
The New Republicans,277019759325483,2,2021-03-21
irish republican archives,279063002221203,2,2021-05-31
Armed Democrats - SOUTHWEST,armeddemocrats.california,1,2021-05-09
Armed Democrats - MID-SOUTH,armeddemocrats.louisiana,1,2021-05-27
Democrats Working for 2018,981267961945434,1,2021-03-23
Utah REAL Republicans,978372012359238,1,2021-03-24
Cass County Democratic Party,993217797826056,1,2021-03-22
The African American Caucus of the Mecklenburg County Democratic Party,aacofmeck,1,2021-03-25
Stonewall Democratic Caucus of Arkansas,SDCofAR,1,2021-05-29
